	ParticipantName	MediaName	MouseEvent	MouseX	MouseY	GazeX	GazeY	View	AOIMouse	AOIGaze
0	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
1	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1599.0	573.0	other		Other
2	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1606.0	573.0	other		Other
3	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1786.0	530.0	other		Other
4	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1961.0	438.0	other		Other
5	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2001.0	396.0	other		Other
6	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2003.0	409.0	other		Other
7	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1997.0	403.0	other		Other
8	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1998.0	413.0	other		Other
9	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1991.0	403.0	other		Other
10	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2011.0	406.0	other		Other
11	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1985.0	407.0	other		Other
12	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1798.0	417.0	other		Other
13	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1425.0	437.0	other		Other
14	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1238.0	494.0	other		Other
15	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1249.0	475.0	other		Other
16	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1239.0	481.0	other		Other
17	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1249.0	492.0	other		Other
18	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1246.0	491.0	other		Other
19	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1259.0	493.0	other		Other
20	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1246.0	476.0	other		Other
21	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1241.0	492.0	other		Other
22	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1253.0	493.0	other		Other
23	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1254.0	491.0	other		Other
24	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1252.0	500.0	other		Other
25	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1259.0	500.0	other		Other
26	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1258.0	490.0	other		Other
27	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1253.0	478.0	other		Other
28	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1258.0	498.0	other		Other
29	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1252.0	500.0	other		Other
30	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1245.0	492.0	other		Other
31	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1249.0	496.0	other		Other
32	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1250.0	497.0	other		Other
33	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1249.0	493.0	other		Other
34	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1249.0	487.0	other		Other
35	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1248.0	497.0	other		Other
36	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1246.0	508.0	other		Other
37	P20	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1252.0	506.0	other		Other
