	ParticipantName	MediaName	MouseEvent	MouseX	MouseY	GazeX	GazeY	View	AOIMouse	AOIGaze
0	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
1	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1690.0	263.0	other		Other
2	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1672.0	266.0	other		Other
3	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1663.0	269.0	other		Other
4	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1668.0	263.0	other		Other
5	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
6	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1670.0	256.0	other		Other
7	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1597.0	272.0	other		Other
8	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1605.0	277.0	other		Other
9	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1605.0	289.0	other		Other
10	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1607.0	278.0	other		Other
11	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1603.0	296.0	other		Other
12	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1449.0	374.0	other		Other
13	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1248.0	529.0	other		Other
14	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1258.0	534.0	other		Other
15	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1227.0	534.0	other		Other
16	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1216.0	518.0	other		Other
17	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1185.0	513.0	other		Other
18	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1189.0	515.0	other		Other
19	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1207.0	550.0	other		Other
20	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1202.0	522.0	other		Other
21	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1195.0	533.0	other		Other
22	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1199.0	530.0	other		Other
23	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1209.0	531.0	other		Other
24	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1208.0	533.0	other		Other
25	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1215.0	537.0	other		Other
26	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1203.0	537.0	other		Other
27	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1186.0	515.0	other		Other
28	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1188.0	521.0	other		Other
29	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1187.0	524.0	other		Other
30	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1200.0	526.0	other		Other
31	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1193.0	536.0	other		Other
32	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1188.0	527.0	other		Other
33	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1216.0	534.0	other		Other
34	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1215.0	531.0	other		Other
35	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1237.0	551.0	other		Other
36	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1407.0	699.0	other		Other
37	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1441.0	763.0	other		Other
38	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1406.0	737.0	other		Other
39	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1407.0	740.0	other		Other
40	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1410.0	745.0	other		Other
41	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1414.0	745.0	other		Other
42	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1423.0	754.0	other		Other
43	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1397.0	745.0	other		Other
44	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1407.0	746.0	other		Other
45	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1430.0	749.0	other		Other
46	P19	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1418.0	743.0	other		Other
