	ParticipantName	MediaName	MouseEvent	MouseX	MouseY	GazeX	GazeY	View	AOIMouse	AOIGaze
57	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
58	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
59	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
60	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
61	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
62	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
63	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
64	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
65	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2191.0	277.0	other		Other
66	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
67	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
68	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
69	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2350.0	302.0	other		Other
70	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2341.0	283.0	other		Other
71	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
72	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
73	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2347.0	320.0	other		Other
74	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
75	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
76	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
77	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
78	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
79	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
80	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
81	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
82	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
83	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
84	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
85	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
86	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
87	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
88	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
89	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
90	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
91	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
92	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
93	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
94	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
95	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
96	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
97	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
98	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
99	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage	Left	2422.0	169.0			other		Other
100	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
101	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
102	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
103	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
104	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
105	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
106	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
107	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
108	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2214.0	241.0	other		Other
109	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2280.0	192.0	other		Other
110	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2268.0	174.0	other		Other
111	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2280.0	226.0	other		Other
112	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
113	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
114	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
115	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
116	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
117	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
118	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2219.0	142.0	other		Other
119	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
120	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2220.0	169.0	other		Other
121	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2207.0	137.0	other		Other
122	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2239.0	144.0	other		Other
123	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
124	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
125	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2246.0	161.0	other		Other
126	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2244.0	151.0	other		Other
127	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
128	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
129	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2271.0	157.0	other		Other
130	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2273.0	110.0	other		Other
131	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2231.0	150.0	other		Other
132	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2245.0	155.0	other		Other
133	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2156.0	199.0	other		Other
134	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1910.0	293.0	other		Other
135	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
136	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1863.0	331.0	other		Other
137	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
138	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1847.0	336.0	other		Other
139	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1841.0	311.0	other		Other
140	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1861.0	337.0	other		Other
141	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1866.0	305.0	other		Other
142	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1858.0	329.0	other		Other
143	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1858.0	319.0	other		Other
144	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1856.0	321.0	other		Other
145	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1992.0	323.0	other		Other
146	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				2002.0	323.0	other		Other
147	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1906.0	301.0	other		Other
148	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1777.0	348.0	other		Other
149	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1895.0	297.0	other		Other
150	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
151	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
152	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1771.0	323.0	other		Other
153	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
154	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1774.0	304.0	other		Other
155	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
156	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1776.0	321.0	other		Other
157	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
158	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
159	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
160	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
161	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
162	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
163	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
164	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
165	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
166	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
167	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
168	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
169	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
170	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
171	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
172	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
173	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
174	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
175	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
176	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
177	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
178	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
179	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
180	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
181	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
182	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1812.0	293.0	other		Other
183	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
184	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1799.0	324.0	other		Other
185	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
186	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1812.0	318.0	other		Other
187	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
188	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1791.0	318.0	other		Other
189	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
190	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1803.0	330.0	other		Other
191	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1808.0	317.0	other		Other
192	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1785.0	322.0	other		Other
193	P12	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1796.0	318.0	other		Other
