	ParticipantName	MediaName	MouseEvent	MouseX	MouseY	GazeX	GazeY	View	AOIMouse	AOIGaze
0	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage						other		Other
1	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1784.0	329.0	other		Other
2	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1782.0	306.0	other		Other
3	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1779.0	319.0	other		Other
4	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1441.0	407.0	other		Other
5	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1281.0	474.0	other		Other
6	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1317.0	471.0	other		Other
7	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1291.0	479.0	other		Other
8	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1291.0	480.0	other		Other
9	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1286.0	476.0	other		Other
10	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1291.0	486.0	other		Other
11	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1290.0	478.0	other		Other
12	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1283.0	484.0	other		Other
13	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1284.0	497.0	other		Other
14	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1283.0	489.0	other		Other
15	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1283.0	495.0	other		Other
16	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1286.0	483.0	other		Other
17	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1286.0	487.0	other		Other
18	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1286.0	483.0	other		Other
19	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1289.0	489.0	other		Other
20	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1286.0	476.0	other		Other
21	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1286.0	487.0	other		Other
22	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1285.0	542.0	other		Other
23	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1274.0	601.0	other		Other
24	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1280.0	614.0	other		Other
25	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1272.0	614.0	other		Other
26	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1277.0	604.0	other		Other
27	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1272.0	612.0	other		Other
28	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1282.0	613.0	other		Other
29	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1279.0	593.0	other		Other
30	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1272.0	595.0	other		Other
31	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1277.0	611.0	other		Other
32	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1287.0	612.0	other		Other
33	P08	http://blascheck.dataindesign.sorenknudsen.com/dvs/?page=landingPage				1278.0	605.0	other		Other
